Instance : gr96.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	513	569	535.565
2	511	541	524.835
3	511	534	518.255
4	511	523	514.59
5	511	517	512.995
6	511	515	512.12
7	511	513	511.56
8	511	513	511.175
9	511	513	511.015
10	511	511	511
trial...2
gene	min	max	ave
1	515	567	537.165
2	513	547	524.095
3	511	534	517.605
4	511	525	514.12
5	511	517	512.44
6	511	515	511.62
7	511	514	511.125
8	511	512	511.005
9	511	511	511
trial...3
gene	min	max	ave
1	513	567	534.86
2	512	542	523.88
3	511	531	518.135
4	511	522	514.545
5	511	517	512.78
6	511	515	511.685
7	511	513	511.195
8	511	512	511.02
9	511	511	511
trial...4
gene	min	max	ave
1	514	559	534.855
2	513	543	523.765
3	511	531	517.325
4	511	523	514.1
5	511	517	512.395
6	511	514	511.62
7	511	513	511.17
8	511	512	511.03
9	511	511	511
trial...5
gene	min	max	ave
1	511	560	534.755
2	511	545	523.825
3	511	532	517.585
4	511	521	514.155
5	511	517	512.345
6	511	514	511.495
7	511	513	511.13
8	511	513	511.015
9	511	511	511
trial...6
gene	min	max	ave
1	511	574	536.25
2	511	550	524.155
3	511	533	517.79
4	511	523	514.435
5	511	519	512.45
6	511	515	511.555
7	511	513	511.145
8	511	512	511.005
9	511	511	511
trial...7
gene	min	max	ave
1	513	568	535.21
2	512	545	523.785
3	511	527	517.685
4	511	523	514.41
5	511	518	512.655
6	511	515	511.675
7	511	513	511.225
8	511	513	511.04
9	511	511	511
trial...8
gene	min	max	ave
1	516	574	536.535
2	512	546	524.23
3	511	530	517.635
4	511	523	514.09
5	511	521	512.47
6	511	516	511.71
7	511	513	511.29
8	511	512	511.09
9	511	512	511.01
10	511	511	511
trial...9
gene	min	max	ave
1	514	565	536.7
2	511	543	524.665
3	511	532	517.88
4	511	522	514.415
5	511	520	512.68
6	511	514	511.825
7	511	513	511.355
8	511	513	511.06
9	511	511	511
trial...10
gene	min	max	ave
1	514	574	535.895
2	512	557	524.52
3	511	532	517.17
4	511	524	513.925
5	511	516	512.48
6	511	514	511.645
7	511	513	511.205
8	511	512	511.03
9	511	511	511
trial...11
gene	min	max	ave
1	512	575	535.105
2	512	540	523.715
3	511	532	517.66
4	511	521	514.505
5	511	517	512.74
6	511	515	512
7	511	513	511.43
8	511	513	511.095
9	511	511	511
trial...12
gene	min	max	ave
1	512	561	534.95
2	511	542	523.735
3	511	532	517.345
4	511	522	513.795
5	511	517	512.08
6	511	514	511.325
7	511	512	511.055
8	511	511	511
trial...13
gene	min	max	ave
1	514	568	535.435
2	513	543	523.565
3	511	530	517.495
4	511	521	514.3
5	511	518	512.595
6	511	516	511.68
7	511	513	511.165
8	511	513	511.015
9	511	511	511
trial...14
gene	min	max	ave
1	516	566	535.13
2	513	539	523.99
3	512	527	517.575
4	511	522	514.395
5	511	517	512.9
6	511	516	511.945
7	511	513	511.355
8	511	513	511.065
9	511	511	511
trial...15
gene	min	max	ave
1	518	573	537.54
2	511	549	525.15
3	511	534	518.365
4	511	523	514.745
5	511	518	512.9
6	511	516	511.845
7	511	513	511.145
8	511	511	511
trial...16
gene	min	max	ave
1	511	563	535.58
2	511	544	523.905
3	511	527	517.37
4	511	520	514.145
5	511	517	512.44
6	511	515	511.665
7	511	513	511.205
8	511	512	511.025
9	511	511	511
trial...17
gene	min	max	ave
1	516	563	536.11
2	511	541	524.845
3	511	533	517.9
4	511	522	514.425
5	511	517	512.64
6	511	514	511.7
7	511	513	511.185
8	511	512	511.03
9	511	511	511
trial...18
gene	min	max	ave
1	516	576	535.66
2	513	544	524.395
3	511	532	518.355
4	511	521	514.76
5	511	517	513.085
6	511	515	512.08
7	511	514	511.57
8	511	513	511.14
9	511	512	511.005
10	511	511	511
trial...19
gene	min	max	ave
1	514	563	535.485
2	511	547	524.465
3	511	534	518.055
4	511	524	514.74
5	511	516	512.86
6	511	515	512.055
7	511	513	511.485
8	511	513	511.13
9	511	511	511
trial...20
gene	min	max	ave
1	513	569	534.675
2	513	549	523.645
3	511	529	517.515
4	511	521	514.315
5	511	519	512.73
6	511	515	511.845
7	511	513	511.34
8	511	513	511.075
9	511	512	511.005
10	511	511	511
opt count : 0
opt average : 511
convergence generation : 9.1
