Instance : kroA200.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	29901	32782	31210.1
2	29598	31595	30513.4
3	29435	30736	30034.3
4	29399	30135	29734.2
5	29368	30002	29546.9
6	29368	29673	29438
7	29368	29593	29385.4
8	29368	29445	29370.3
9	29368	29368	29368
trial...2
gene	min	max	ave
1	29913	32378	31290.4
2	29672	31621	30591.7
3	29510	30808	30084.1
4	29406	30276	29745
5	29375	29927	29545.6
6	29368	29705	29438.4
7	29368	29526	29388.9
8	29368	29452	29370.1
9	29368	29382	29368.1
10	29368	29368	29368
trial...3
gene	min	max	ave
1	30228	32699	31297.2
2	29859	31411	30601.7
3	29566	30908	30095.2
4	29420	30316	29742.9
5	29368	29881	29537.8
6	29368	29730	29431.1
7	29368	29521	29384.1
8	29368	29445	29371.1
9	29368	29382	29368.1
10	29368	29368	29368
trial...4
gene	min	max	ave
1	30034	32963	31266.4
2	29712	31517	30571.4
3	29519	30803	30075.3
4	29395	30562	29737.2
5	29368	29967	29550.4
6	29368	29676	29443.8
7	29368	29523	29389.4
8	29368	29465	29372.6
9	29368	29382	29368.4
10	29368	29368	29368
trial...5
gene	min	max	ave
1	30044	32550	31286.4
2	29542	31575	30597.5
3	29415	30843	30093.5
4	29394	30430	29767.7
5	29368	29981	29573.4
6	29368	29683	29455.7
7	29368	29636	29396.2
8	29368	29463	29373
9	29368	29445	29368.5
10	29368	29368	29368
trial...6
gene	min	max	ave
1	30162	32352	31297.7
2	29745	31344	30577.2
3	29398	30791	30052.2
4	29398	30323	29738.4
5	29382	29961	29528.3
6	29368	29663	29426.2
7	29368	29474	29387.2
8	29368	29445	29372.8
9	29368	29382	29369.1
10	29368	29382	29368.1
11	29368	29368	29368
trial...7
gene	min	max	ave
1	30078	32433	31197.3
2	29747	31264	30495.5
3	29505	30828	30028.5
4	29412	30192	29708.7
5	29375	30039	29529.1
6	29368	29615	29428.7
7	29368	29483	29382.3
8	29368	29406	29369.5
9	29368	29375	29368
10	29368	29368	29368
trial...8
gene	min	max	ave
1	30313	32475	31297.1
2	29802	31410	30599.6
3	29604	30735	30118.1
4	29432	30253	29812.8
5	29368	29971	29615.4
6	29368	29722	29497.7
7	29368	29601	29425.3
8	29368	29460	29387.6
9	29368	29445	29371
10	29368	29389	29368.1
11	29368	29368	29368
trial...9
gene	min	max	ave
1	29818	32356	31219.2
2	29694	31726	30500.7
3	29467	30783	30014.1
4	29421	30428	29714.9
5	29368	29998	29530.2
6	29368	29759	29433.9
7	29368	29554	29385.8
8	29368	29489	29370.5
9	29368	29382	29368.1
10	29368	29368	29368
trial...10
gene	min	max	ave
1	30015	32729	31242
2	29666	31687	30526.8
3	29456	30746	30067.7
4	29368	30293	29746.4
5	29368	30020	29546.6
6	29368	29717	29432.8
7	29368	29503	29382.4
8	29368	29383	29368.5
9	29368	29368	29368
trial...11
gene	min	max	ave
1	30284	32758	31262.5
2	29733	31585	30575.4
3	29494	30631	30116.5
4	29382	30423	29790.5
5	29368	29963	29568.5
6	29368	29761	29446.1
7	29368	29500	29388
8	29368	29459	29371.9
9	29368	29382	29368.1
10	29368	29368	29368
trial...12
gene	min	max	ave
1	30100	32369	31161.7
2	29772	31357	30482.3
3	29527	30803	30016.3
4	29430	30266	29735.2
5	29368	29788	29556.4
6	29368	29687	29450.3
7	29368	29597	29394.1
8	29368	29473	29370.8
9	29368	29382	29368.2
10	29368	29368	29368
trial...13
gene	min	max	ave
1	30062	32584	31300.4
2	29610	31581	30595
3	29437	30907	30082.9
4	29411	30288	29728.4
5	29368	29905	29530.4
6	29368	29632	29423.9
7	29368	29487	29382.7
8	29368	29397	29370.8
9	29368	29382	29368.2
10	29368	29368	29368
trial...14
gene	min	max	ave
1	29780	32510	31218.3
2	29521	31577	30508.3
3	29478	30883	30008.5
4	29397	30186	29700
5	29373	29962	29520.8
6	29368	29657	29433.9
7	29368	29629	29386.3
8	29368	29459	29372.2
9	29368	29383	29368.3
10	29368	29368	29368
trial...15
gene	min	max	ave
1	29920	32220	31158.6
2	29575	31425	30473.4
3	29405	30597	30014.2
4	29375	30160	29718.5
5	29368	29840	29541.7
6	29368	29649	29435.2
7	29368	29555	29383.7
8	29368	29460	29370.4
9	29368	29383	29368.1
10	29368	29368	29368
trial...16
gene	min	max	ave
1	29990	32355	31258.9
2	29582	31384	30500
3	29520	30832	30012.5
4	29383	30320	29702.6
5	29368	29797	29512.1
6	29368	29597	29414.8
7	29368	29488	29375.2
8	29368	29445	29368.8
9	29368	29382	29368.1
10	29368	29368	29368
trial...17
gene	min	max	ave
1	29869	33008	31313.2
