Instance : kroB150.tsp
opt distance : 6773
trial : 20
generation : 100
population : 200
children : 100
trial...1
gene	min	max	ave
1	26551	28716	27503.8
2	26141	27663	26946
3	26141	27296	26579.1
4	26135	26825	26346.3
5	26130	26513	26225.6
6	26130	26393	26168.9
7	26130	26229	26141.4
8	26130	26183	26132.8
9	26130	26141	26130.5
10	26130	26130	26130
trial...2
gene	min	max	ave
1	26599	28807	27504.3
2	26292	27916	26947.3
3	26158	27200	26576.3
4	26141	26693	26349.7
5	26130	26473	26229.7
6	26130	26282	26170.3
7	26130	26216	26144.7
8	26130	26200	26135.9
9	26130	26143	26132
10	26130	26141	26130.2
11	26130	26130	26130
trial...3
gene	min	max	ave
1	26378	28600	27515.4
2	26206	27662	26932.4
3	26141	27139	26562.2
4	26141	26789	26348.8
5	26130	26474	26230.1
6	26130	26401	26168.8
7	26130	26244	26145.5
8	26130	26181	26133.7
9	26130	26141	26130.6
10	26130	26130	26130
trial...4
gene	min	max	ave
1	26632	28827	27430.7
2	26241	27825	26861.1
3	26172	27136	26539.1
4	26141	26732	26346.5
5	26130	26491	26230.1
6	26130	26268	26169.4
7	26130	26234	26142.9
8	26130	26178	26131.8
9	26130	26150	26130.2
10	26130	26130	26130
trial...5
gene	min	max	ave
1	26563	28548	27472
2	26243	27711	26904.2
3	26165	27033	26563.3
4	26141	26830	26343.9
5	26130	26494	26224.3
6	26130	26283	26168.1
7	26130	26218	26143.3
8	26130	26152	26135.5
9	26130	26141	26132.3
10	26130	26141	26130.2
11	26130	26130	26130
trial...6
gene	min	max	ave
1	26535	28598	27481.9
2	26231	27735	26905.1
3	26142	26994	26572.2
4	26130	26823	26347.7
5	26130	26503	26225.3
6	26130	26302	26167.8
7	26130	26230	26141.1
8	26130	26191	26131
9	26130	26130	26130
trial...7
gene	min	max	ave
1	26517	28732	27446.9
2	26270	28041	26873.3
3	26165	27006	26514.6
4	26136	26722	26315.8
5	26130	26464	26211.8
6	26130	26279	26161.2
7	26130	26232	26138.9
8	26130	26188	26131.7
9	26130	26137	26130.2
10	26130	26132	26130
11	26130	26130	26130
trial...8
gene	min	max	ave
1	26529	29124	27567.3
2	26249	27749	26969.1
3	26245	27178	26606.5
4	26141	26891	26365
5	26130	26584	26233.7
6	26130	26302	26175.2
7	26130	26213	26147.6
8	26130	26181	26135.7
9	26130	26141	26131.4
10	26130	26141	26130.2
11	26130	26130	26130
trial...9
gene	min	max	ave
1	26416	28613	27522.5
2	26341	27594	26947.8
3	26201	27224	26586.2
4	26141	26996	26359.2
5	26130	26561	26238.6
6	26130	26315	26173.9
7	26130	26244	26143.4
8	26130	26165	26132.2
9	26130	26141	26130.3
10	26130	26130	26130
trial...10
gene	min	max	ave
1	26571	28627	27537.1
2	26297	27951	26969.5
3	26141	27155	26593.2
4	26141	26798	26367
5	26130	26566	26244.4
6	26130	26325	26174.2
7	26130	26304	26141.2
8	26130	26155	26132.3
9	26130	26137	26130.3
10	26130	26132	26130
11	26130	26130	26130
trial...11
gene	min	max	ave
1	26627	28809	27541.3
2	26272	27855	26977.8
3	26159	27260	26600.6
4	26130	26928	26343.7
5	26130	26478	26222.3
